Date,Open,High,Low,Close,Volume
2020-01-10,305.3937141608587,305.5523249064396,303.44354236353234,303.9194030761719,53029300
2020-01-13,304.55395152740493,306.0188941384214,304.11539421080926,306.00958251953125,47086800
2020-01-14,305.56165097917386,306.6347081517877,304.9737945911092,305.5429992675781,62832800
2020-01-15,305.4497213858029,307.00797953492594,305.36574595943387,306.2335205078125,72056600
2020-01-16,307.6424115758298,308.7807922363281,307.4091370837267,308.7807922363281,54050300
2020-01-17,309.5087298102534,309.95659878749,308.7155905285283,309.74200439453125,95846000
2020-01-21,308.76217292836657,309.956537424381,308.68753760557007,309.1354064941406,77742400
2020-01-22,310.0126039113873,310.6751242793364,309.01421026311687,309.1728210449219,48914900
2020-01-23,308.51023968648275,309.94721878183583,307.37185882733985,309.5273132324219,51963000
2020-01-24,310.1991408278066,310.28311624137393,305.45898643878166,306.774658203125,87578400
2020-01-27,301.41868151852736,303.3688531525122,301.07343977375945,301.85723876953125,84062500
2020-01-28,303.3128916814478,305.91624357319716,301.95057631383594,305.0204772949219,63834000
2020-01-29,306.4107554033137,306.644029925854,304.56321093347253,304.76849365234375,53888900
2020-01-30,302.65967593665135,305.972191166527,301.89455716189116,305.757568359375,75491800
2020-01-31,305.12313666397625,305.28177590050626,299.27262071688074,300.2057189941406,113845600
2020-02-03,301.7173156363476,304.3393193608572,301.5960083114013,302.435791015625,69083000
2020-02-04,306.1215604160018,307.93177336237216,305.794970321902,307.0453186035156,62573200
2020-02-05,310.0405094487718,310.8056567595692,308.54757520201,310.5910339355469,65951100
2020-02-06,311.5707846983319,311.83205102286047,310.53503101745173,311.6361083984375,50359700
2020-02-07,310.5537360288431,311.645444928077,309.4153551361343,309.9752197265625,64139400
2020-02-10,309.07001404276457,312.3545082546458,309.03268215516175,312.2891845703125,42070000
2020-02-11,313.67016564106814,314.4726160954197,312.2891706203197,312.83038330078125,54864500
2020-02-12,314.29542483780654,315.060572124597,313.9221912878265,314.8459777832031,43992700
2020-02-13,313.39037200147106,315.499183208721,313.1104539101987,314.5101013183594,54501900
2020-02-14,314.92991009648597,315.1351927922652,313.70755401394774,315.0138854980469,64582200
2020-02-18,313.996835209042,315.07923236860023,312.78379065351794,314.2021179199219,57226200
2020-02-19,315.19124464323255,316.3949208021348,314.90198648325793,315.7044372558594,48814700
2020-02-20,315.14453664904494,315.9843477023517,311.3561607196462,314.40740966796875,74163400
2020-02-21,313.026473116592,313.34372310656187,310.32980548799975,311.16961669921875,113788200
2020-02-24,301.52128845733273,311.24415325385723,299.74837955265315,300.8494567871094,161088400
2020-02-25,302.2678096088303,302.8929694075647,290.8373575504189,291.7331237792969,218913200
2020-02-26,293.1607300472441,296.8277984436117,289.9135671516052,290.6600341796875,194773800
2020-02-27,285.02416202784036,290.7160666197874,277.6060485839844,277.6060485839844,284353500
2020-02-28,269.3854172805193,277.96059060164777,266.4368240379431,276.43963623046875,384975800
2020-03-02,278.25917361873275,288.4766091009458,274.76005577905624,288.4112854003906,238703600
2020-03-03,288.79381647006016,292.84345816920563,277.66196472434535,280.1533203125,300139100
2020-03-04,285.64006437226584,292.1531011527958,283.0367119840445,291.92913818359375,176613400
2020-03-05,284.57627903687177,287.83278241085185,279.9387801738403,282.224853515625,186366800
2020-03-06,273.53767602553467,278.7910223796907,270.8130457819452,277.559326171875,228667200
2020-03-09,256.88193841382963,265.17719557575634,255.1557294214367,255.883544921875,309417300
2020-03-10,265.59706622199917,269.2174630579662,255.2023393528712,269.1241760253906,276444100
2020-03-11,261.9206585085402,263.0776910864089,252.75762796680647,256.0047912597656,255316300
2020-03-12,238.87314602576842,248.81997653910545,231.1097619457154,231.51100158691406,392220700
2020-03-13,245.48880510163852,253.31751276631508,231.89357156075928,251.30201721191406,329566100
